,LEA,School State,School,Year,Category,Sex,Total_Disability,no_IEP,Total,LEP,Race,Count
66,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Students receiving only one out-of-school suspension,M,,,87.0,0.0,American Indian or Alaska Native,0.0
67,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Students receiving only one out-of-school suspension,F,,,90.0,0.0,American Indian or Alaska Native,2.0
68,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,M,,,194.0,0.0,American Indian or Alaska Native,0.0
69,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,F,,,144.0,0.0,American Indian or Alaska Native,0.0
70,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Expulsions with educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
71,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Expulsions with educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
72,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Expulsions without educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
73,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Expulsions without educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
74,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Expulsions under zero-tolerance policies,M,,,0.0,0.0,American Indian or Alaska Native,0.0
75,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Expulsions under zero-tolerance policies,F,,,0.0,0.0,American Indian or Alaska Native,0.0
76,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Transferred to Alternative School,M,,,0.0,0.0,American Indian or Alaska Native,0.0
77,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Transferred to Alternative School,F,,,0.0,0.0,American Indian or Alaska Native,0.0
78,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Referral to law enforcement,M,,,7.0,0.0,American Indian or Alaska Native,0.0
79,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Referral to law enforcement,F,,,2.0,0.0,American Indian or Alaska Native,0.0
80,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: School-related arrest,M,,,7.0,0.0,American Indian or Alaska Native,0.0
81,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: School-related arrest,F,,,0.0,0.0,American Indian or Alaska Native,0.0
82,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,Total enrollment,M,,,858.0,0.0,American Indian or Alaska Native,2.0
83,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,Total enrollment,F,,,878.0,0.0,American Indian or Alaska Native,2.0
84,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Corporal punishment,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
85,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Corporal punishment,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
86,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Students receiving one or more in-school suspensions,M,19.0,0.0,19.0,0.0,American Indian or Alaska Native,0.0
87,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Students receiving one or more in-school suspensions,F,13.0,0.0,13.0,0.0,American Indian or Alaska Native,0.0
88,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Students receiving only one out-of-school suspension,M,5.0,0.0,5.0,0.0,American Indian or Alaska Native,0.0
89,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Students receiving only one out-of-school suspension,F,2.0,0.0,2.0,0.0,American Indian or Alaska Native,0.0
90,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Students receiving more than one out-of-school suspension,M,16.0,0.0,16.0,0.0,American Indian or Alaska Native,0.0
91,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Students receiving more than one out-of-school suspension,F,10.0,0.0,10.0,0.0,American Indian or Alaska Native,0.0
92,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Expulsions with educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
93,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Expulsions with educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
94,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Expulsions without educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
95,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Expulsions without educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
96,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Expulsions under zero-tolerance policies,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
97,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Expulsions under zero-tolerance policies,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
98,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Transferred to Alternative School,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
99,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Transferred to Alternative School,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
100,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Referral to law enforcement,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
101,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: Referral to law enforcement,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
102,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: School-related arrest,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
103,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWD: School-related arrest,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
104,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Corporal punishment,M,,,0.0,0.0,American Indian or Alaska Native,0.0
105,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Corporal punishment,F,,,0.0,0.0,American Indian or Alaska Native,0.0
106,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Students receiving one or more in-school suspensions,M,,,92.0,0.0,American Indian or Alaska Native,0.0
107,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Students receiving one or more in-school suspensions,F,,,93.0,0.0,American Indian or Alaska Native,0.0
108,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Students receiving only one out-of-school suspension,M,,,48.0,0.0,American Indian or Alaska Native,0.0
109,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Students receiving only one out-of-school suspension,F,,,42.0,0.0,American Indian or Alaska Native,0.0
110,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,M,,,58.0,0.0,American Indian or Alaska Native,0.0
111,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,F,,,58.0,0.0,American Indian or Alaska Native,0.0
112,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Expulsions with educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
113,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Expulsions with educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
114,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Expulsions without educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
115,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Expulsions without educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
116,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Expulsions under zero-tolerance policies,M,,,0.0,0.0,American Indian or Alaska Native,0.0
117,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Expulsions under zero-tolerance policies,F,,,0.0,0.0,American Indian or Alaska Native,0.0
118,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Transferred to Alternative School,M,,,0.0,0.0,American Indian or Alaska Native,0.0
119,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Transferred to Alternative School,F,,,0.0,0.0,American Indian or Alaska Native,0.0
120,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Referral to law enforcement,M,,,2.0,0.0,American Indian or Alaska Native,0.0
121,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: Referral to law enforcement,F,,,0.0,0.0,American Indian or Alaska Native,0.0
122,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: School-related arrest,M,,,2.0,0.0,American Indian or Alaska Native,0.0
123,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,SWOD: School-related arrest,F,,,0.0,0.0,American Indian or Alaska Native,0.0
124,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,Total enrollment,M,,,234.0,0.0,American Indian or Alaska Native,0.0
125,FERGUSON-FLORISSANT R-II,MO,MCCLUER SOUTH-BERKELEY HIGH,2015,Total enrollment,F,,,263.0,0.0,American Indian or Alaska Native,0.0
126,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Corporal punishment,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
127,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Corporal punishment,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
128,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Students receiving one or more in-school suspensions,M,22.0,2.0,24.0,0.0,American Indian or Alaska Native,0.0
129,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Students receiving one or more in-school suspensions,F,2.0,2.0,4.0,0.0,American Indian or Alaska Native,0.0
130,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Students receiving only one out-of-school suspension,M,10.0,2.0,12.0,0.0,American Indian or Alaska Native,0.0
131,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Students receiving only one out-of-school suspension,F,15.0,0.0,15.0,0.0,American Indian or Alaska Native,0.0
132,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Students receiving more than one out-of-school suspension,M,7.0,0.0,7.0,0.0,American Indian or Alaska Native,0.0
133,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Students receiving more than one out-of-school suspension,F,4.0,2.0,6.0,0.0,American Indian or Alaska Native,0.0
134,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Expulsions with educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
135,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Expulsions with educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
136,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Expulsions without educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
137,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Expulsions without educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
138,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Expulsions under zero-tolerance policies,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
139,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Expulsions under zero-tolerance policies,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
140,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Transferred to Alternative School,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
141,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Transferred to Alternative School,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
142,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Referral to law enforcement,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
143,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: Referral to law enforcement,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
144,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: School-related arrest,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
145,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWD: School-related arrest,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
146,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Corporal punishment,M,,,0.0,0.0,American Indian or Alaska Native,0.0
147,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Corporal punishment,F,,,0.0,0.0,American Indian or Alaska Native,0.0
148,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Students receiving one or more in-school suspensions,M,,,41.0,0.0,American Indian or Alaska Native,0.0
149,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Students receiving one or more in-school suspensions,F,,,13.0,0.0,American Indian or Alaska Native,0.0
150,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Students receiving only one out-of-school suspension,M,,,25.0,0.0,American Indian or Alaska Native,0.0
151,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Students receiving only one out-of-school suspension,F,,,10.0,0.0,American Indian or Alaska Native,0.0
152,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,M,,,2.0,0.0,American Indian or Alaska Native,0.0
153,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,F,,,0.0,0.0,American Indian or Alaska Native,0.0
154,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Expulsions with educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
155,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Expulsions with educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
156,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Expulsions without educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
157,ROCKWOOD R-VI,MO,EUREKA SR. HIGH,2015,SWOD: Expulsions without educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
